State,Median Household Income(USD),Income Ranking,Abbreviation,Price,Cost Ranking,Density,Pop,LandArea,Vehicle Count
District of Columbia,82604,1,DC,15996.43333,50,11665.0984,711571,61,30
New Jersey,79363,3,NJ,20129.29658,37,1213.2917,8922547,7354,56606
Massachusetts,77378,5,MA,20498.5551,30,889.6632,6939373,7800,45750
Connecticut,76106,7,CT,19728.15029,41,736.8589,3567871,4842,24745
Maryland,81868,2,MD,20735.48031,22,624.5923,6062917,9707,33186
Delaware,65627,15,DE,20040.93712,38,500.2735,975033,1949,4469
New York,65323,16,NY,21651.26752,11,413.6005,19491339,47126,72452
Florida,53267,37,FL,20459.35458,32,403.6579,21646155,53625,133991
Ohio,54533,34,OH,18650.85729,47,286.791,11718568,40861,77793
Pennsylvania,59445,22,PA,20033.56861,39,286.3905,12813969,44743,77660
California,71228,10,CA,21193.90411,16,255.1516,39747267,155779,166477
Illinois,63575,17,IL,20415.27756,33,228.7574,12700381,55519,82674
Virginia,71564,9,VA,18634.76197,48,217.0662,8571946,39490,59038
North Carolina,52413,40,NC,20244.85563,34,215.9229,10497741,48618,66892
Indiana,54325,35,IN,19895.75756,40,187.5346,6718616,35826,46323
Georgia,55679,31,GA,20955.6722,19,184.789,10627767,57513,62603
Michigan,54938,33,MI,19470.14085,43,177.2312,10020472,56539,52112
South Carolina,51015,42,SC,20723.96088,23,171.2222,5147111,30061,24772
Tennessee,50972,43,TN,20713.29322,24,165.728,6833793,41235,43302
New Hampshire,74057,8,NH,19271.98677,44,152.3346,1363852,8953,13375
Washington,70116,11,WA,20216.68421,35,115.3597,7666343,66456,39503
Kentucky,48392,45,KY,20205.90049,36,113.5604,4484047,39486,27546
Texas,59570,21,TX,21700.95015,9,111.3457,29087070,261232,149330
Wisconsin,59209,24,WI,20467.42839,31,107.6971,5832661,54158,37919
Louisiana,47942,47,LA,21655.92544,10,107.6887,4652581,43204,22018
Alabama,48486,44,AL,21195.49902,15,96.7173,4898246,50645,26262
Missouri,53560,36,MO,20919.09402,21,89.4338,6147861,68742,40939
West Virginia,44921,49,WV,22494.6412,7,74.5466,1791951,24038,8403
Minnesota,68411,13,MN,20601.35877,26,71.0302,5655925,79627,37300
Vermont,60076,20,VT,18749.89364,46,68.046,627180,9217,4400
Arizona,56213,30,AZ,18812.48725,45,64.0445,7275070,113594,36159
Mississippi,43567,50,MS,22433.64346,8,63.6766,2987895,46923,12931
Arkansas,45726,48,AR,23134.05915,3,58.1611,3026412,52035,14368
Oklahoma,51424,41,OK,21188.58575,17,57.5691,3948950,68595,23040
Iowa,58580,26,IA,20560.42695,28,56.7162,3167997,55857,23061
Colorado,68811,12,CO,21214.44392,14,55.6777,5770545,103642,36635
Oregon,59393,23,OR,20532.89641,29,44.2337,4245901,95988,23467
Maine,55425,32,ME,19518.7525,42,43.5138,1342097,30843,6606
Utah,68374,14,UT,20624.83685,25,39.2066,3221610,82170,21159
Kansas,57422,28,KS,21222.34799,13,35.6038,2910931,81759,17699
Nevada,57598,27,NV,20564.64296,27,28.1198,3087025,109781,14321
Nebraska,59116,25,NE,20952.65735,20,25.2645,1940919,76824,14779
Idaho,53089,38,ID,21092.22332,18,21.6616,1790182,82643,9367
New Mexico,48059,46,NM,21299.56441,12,17.28,2096034,121298,7709
South Dakota,56499,29,SD,22685.36591,5,11.7744,892631,75811,6201
North Dakota,63473,18,ND,22540.16718,6,11.0274,760900,69001,4845
Montana,52559,39,MT,23082.98522,4,7.3828,1074532,145546,5075
Wyoming,62268,19,WY,23836.37785,2,5.8952,572381,97093,1842
